n_layers,ibm_perth,ibm_lagos,ibm_cairo,ibm_guadalupe,ibm_nairobi,ibm_athens,ibm_auckland,ibm_burington
1,0.9298,0.984,0.9592,0.9088,0.9136,0.8745,0.9158,0.8703
2,0.8352,0.9002,0.8606,0.7822,0.8419,0.7251,0.8087,0.7303
3,0.6948,0.801,0.7734,0.637,0.7069,0.5196,0.6692,0.5077
4,0.5702,0.6704,0.6222,0.4986,0.6056,0.3683,0.5346,0.3553
5,0.4404,0.5318,0.503,0.363,0.4465,0.2616,0.3838,0.2423
6,0.3238,0.4332,0.3882,0.2618,0.3429,0.1886,0.2783,0.1791
7,0.2428,0.3204,0.294,0.1892,0.2539,0.1492,0.1971,0.1437
8,0.1878,0.2592,0.2286,0.1474,0.1907,0.1192,0.1519,0.1162
9,0.1472,0.1993,0.18,0.1204,0.1514,0.1048,0.1217,0.1024
